Year,Gov_agency_Cod,Sup_Gov_agency_Cod,Planned,Released,Gov_agency_Name,Sup_Gov_agency_Name,Paid_out
2015,56901,39000,"113.647.723,11","81.354.346,95",Fundo Nacional de Seguranca e Educacao de Tra¢nsito,"Ministerio dos Transportes, Portos e Aviacao Civil","72.291.811,71"
2015,56902,53000,"64.524.694,45","2.391.943,72",Fundo Nacional de Habitacao de Interesse Social,Ministerio do Desenvolvimento Regional,"2.391.943,72"
2015,58000,58000,"148.769.296,62","101.811.245,80",Ministerio da Pesca e Aquicultura - Unidades com vinculo direto,Ministerio da Pesca e Aquicultura,"100.500.002,98"
2015,60000,20000,"9.686.322,79","9.104.400,79",Gabinete da Vice-Presidencia da Republica,Presidencia da Republica,"9.104.400,79"
2015,61000,20000,"11.677.093,00","11.677.093,00",Secretaria de Assuntos Estrategicos,Presidencia da Republica,"11.657.940,43"
2015,61201,25000,"332.112.601,17","322.914.226,02",Instituto de Pesquisa Economica Aplicada,Ministerio da Economia,"317.388.029,23"
2015,62000,39000,"126.905.243,63","79.635.119,62",Secretaria de Aviacao Civil ,"Ministerio dos Transportes, Portos e Aviacao Civil","79.349.487,23"
2015,62201,39000,"461.747.750,06","441.437.781,33",Agencia Nacional de Aviacao Civil,"Ministerio dos Transportes, Portos e Aviacao Civil","430.703.784,51"
2015,62901,39000,"1.917.222.461,00","1.590.586.605,03",Fundo Nacional de Aviacao Civil,"Ministerio dos Transportes, Portos e Aviacao Civil","1.590.586.605,03"
2015,63000,63000,"3.135.262.459,14","3.078.537.742,16",Advocacia-Geral da Uniao - Unidades com vinculo direto,Advocacia-Geral da Uniao,"3.048.454.797,82"
2015,64000,20000,"149.875.753,38","78.717.304,86",Secretaria de Direitos Humanos,Presidencia da Republica,"78.708.804,88"
2015,64901,57000,"12.801.378,13","6.498.304,12",Fundo Nacional para a Crianca e o Adolescente,"Ministerio das Mulheres, Igualdade Racial, da Juventude e dos Direitos Humanos","6.498.304,12"
2015,64902,57000,"2.567.954,13","1.565.464,38",Fundo Nacional do Idoso,"Ministerio das Mulheres, Igualdade Racial, da Juventude e dos Direitos Humanos","1.565.464,38"
2015,66000,37000,"873.484.335,61","846.140.039,44",Controladoria-Geral da Uniao,Ministerio da Transparencia e Controladoria-Geral da Uniao,"841.465.120,77"
2015,67000,20000,"15.486.236,02","7.106.710,05",Secretaria de Politicas de Promocao da Igualdade Racial,Presidencia da Republica,"7.097.998,60"
2015,68000,39000,"661.092.206,01","160.849.431,25",Secretaria de Portos,"Ministerio dos Transportes, Portos e Aviacao Civil","160.525.404,98"
2015,68201,39000,"120.531.392,52","115.897.507,74",Agencia Nacional de Transportes Aquaviarios,"Ministerio dos Transportes, Portos e Aviacao Civil","114.700.372,02"
2015,69000,20000,"64.979.007,07","45.017.335,62",Secretaria da Micro e Pequena Empresa,Presidencia da Republica,"44.979.032,76"
2015,71902,25000,"268.655,78","236.818,35",Fundo Soberano do Brasil,Ministerio da Economia,"236.818,35"
2015,74917,53000,0,0,Fundo de Desenvolvimento da Amazonia,Ministerio do Desenvolvimento Regional,0
2015,74918,53000,"2.022.481.635,00",0,Fundo de Desenvolvimento do Nordeste,Ministerio do Desenvolvimento Regional,0
2015,74919,53000,"1.102.853.840,16",0,Fundo de Desenvolvimento do Centro-Oeste,Ministerio do Desenvolvimento Regional,0
2015,91214,51000,"29.026.956,43","27.396.388,49",Autoridade Publica Olimpica,Ministerio do Esporte,"27.392.433,26"
2016,20101,20000,"1.294.301.302,78","1.125.190.000,32",Presidencia da Republica,Presidencia da Republica,"1.123.412.636,39"
